Track n,Slice n ,X,Y,Distance,Velocity,Pixel Value
1,1,214,74,-1.000,-1.000,-11109301
1,2,213,76,0.288,1.731E-7,-11567231
1,3,212,76,0.129,7.740E-8,-15123934
1,4,213,76,0.129,7.740E-8,-11239551
1,5,213,76,0.000,0.000,-11042943
1,6,213,76,0.000,0.000,-11042943
1,7,213,76,0.000,0.000,-11174015
1,8,213,76,0.000,0.000,-11305087
1,9,213,76,0.000,0.000,-11174015
1,10,213,76,0.000,0.000,-12091264
1,11,213,76,0.000,0.000,-12156800
1,12,213,76,0.000,0.000,-13204865
1,13,213,76,0.000,0.000,-13860225
1,14,214,77,0.182,1.095E-7,-8879997
1,15,214,77,0.000,0.000,-8551803
1,16,214,77,0.000,0.000,-8813944
1,17,214,77,0.000,0.000,-9142139
1,18,214,77,0.000,0.000,-9076858
1,19,214,77,0.000,0.000,-9469057
1,20,214,77,0.000,0.000,-9928068
1,21,214,77,0.000,0.000,-10650247
1,22,214,77,0.000,0.000,-10125187
1,23,214,77,0.000,0.000,-9732481
1,24,214,77,0.000,0.000,-9403517
1,25,214,77,0.000,0.000,-9403517
1,26,214,77,0.000,0.000,-9666174
1,27,214,76,0.129,7.740E-8,-12487334
1,28,214,76,0.000,0.000,-13012654
1,29,214,76,0.000,0.000,-12751021
1,30,214,76,0.000,0.000,-12751021
1,31,214,76,0.000,0.000,-12751021
1,32,214,76,0.000,0.000,-13015222
1,33,214,76,0.000,0.000,-13015222
1,34,214,76,0.000,0.000,-13015998
1,35,214,76,0.000,0.000,-13015998
1,36,214,76,0.000,0.000,-14133194
1,37,214,76,0.000,0.000,-14596311
1,38,216,77,0.288,1.731E-7,-10453892
1,39,217,75,0.288,1.731E-7,-12680319
1,40,219,76,0.288,1.731E-7,-10715004
1,41,220,77,0.182,1.095E-7,-12752052
1,42,222,76,0.288,1.731E-7,-12954307
1,43,224,78,0.365,2.189E-7,-12626106
1,44,227,79,0.408,2.448E-7,-9667706
1,45,229,78,0.288,1.731E-7,-13924993
1,46,233,79,0.532,3.191E-7,-11108733
1,47,238,79,0.645,3.870E-7,-10127765
1,48,241,79,0.387,2.322E-7,-11698811
1,49,244,80,0.408,2.448E-7,-12957128
1,50,248,80,0.516,3.096E-7,-13745879
